symbol,trades,wins,losses,win_rate_pct,total_pnl_usd,avg_pnl_pct,profit_factor,expectancy_pct,decision,rule_reason
SEI/USDT,3,2,1,66.67,-0.04399,-0.120363,0.59331,-0.120363,BLOQUEAR,PF/WR/expectancy debiles
POWER/USDT,3,2,1,66.67,-0.048045,-0.133059,0.601425,-0.133059,BLOQUEAR,PF/WR/expectancy debiles
LIT/USDT,3,2,1,66.67,-0.059994,-0.166307,0.53141,-0.166307,BLOQUEAR,PF/WR/expectancy debiles
FIDA/USDT,3,2,1,66.67,-0.063416,-0.176521,0.48072,-0.176521,BLOQUEAR,PF/WR/expectancy debiles
STO/USDT,3,1,2,33.33,-0.081898,-0.224456,0.472725,-0.224456,BLOQUEAR,PF/WR/expectancy debiles
PLAY/USDT,3,1,2,33.33,-0.088521,-0.229772,0.365559,-0.229772,BLOQUEAR,PF/WR/expectancy debiles
PTB/USDT,3,2,1,66.67,-0.089075,-0.244558,0.48778,-0.244558,BLOQUEAR,PF/WR/expectancy debiles
BARD/USDT,4,1,3,25.0,-0.09216,-0.191772,0.277222,-0.191772,BLOQUEAR,PF/WR/expectancy debiles
ZEC/USDT,3,1,2,33.33,-0.098803,-0.274742,0.255095,-0.274742,BLOQUEAR,PF/WR/expectancy debiles
GWEI/USDT,3,2,1,66.67,-0.102132,-0.276821,0.507111,-0.276821,BLOQUEAR,PF/WR/expectancy debiles
BASED/USDT,5,3,2,60.0,-0.103262,-0.176199,0.580411,-0.176199,BLOQUEAR,PF/WR/expectancy debiles
MON/USDT,4,2,2,50.0,-0.107543,-0.223847,0.263424,-0.223847,BLOQUEAR,PF/WR/expectancy debiles
GALA/USDT,3,1,2,33.33,-0.11505,-0.319944,0.342444,-0.319944,BLOQUEAR,PF/WR/expectancy debiles
XRP/USDT,3,0,3,0.0,-0.144301,-0.40145,0.0,-0.40145,BLOQUEAR,PF/WR/expectancy debiles
SKL/USDT,3,0,3,0.0,-0.193321,-0.5368,0.0,-0.5368,BLOQUEAR,PF/WR/expectancy debiles
AIOT/USDT,3,1,2,33.33,-0.197317,-0.555291,0.205261,-0.555291,BLOQUEAR,PF/WR/expectancy debiles
ARIA/USDT,3,1,2,33.33,-0.198566,-0.550088,0.184263,-0.550088,BLOQUEAR,PF/WR/expectancy debiles
EWY/USDT,3,0,3,0.0,-0.201509,-0.559729,0.0,-0.559729,BLOQUEAR,PF/WR/expectancy debiles
币安人生/USDT,3,1,2,33.33,-0.209879,-0.585667,0.138456,-0.585667,BLOQUEAR,PF/WR/expectancy debiles
MOVR/USDT,3,1,2,33.33,-0.235175,-0.654243,0.050385,-0.654243,BLOQUEAR,PF/WR/expectancy debiles
TRU/USDT,3,1,2,33.33,-0.266131,-0.738959,0.093717,-0.738959,BLOQUEAR,PF/WR/expectancy debiles
DOT/USDT,3,0,3,0.0,-0.273709,-0.302667,0.0,-0.302667,BLOQUEAR,PF/WR/expectancy debiles
LTC/USDT,4,1,3,25.0,-0.279963,-0.116705,0.024625,-0.116705,BLOQUEAR,PF/WR/expectancy debiles
ALT/USDT,3,1,2,33.33,-0.283857,-0.232889,0.176983,-0.232889,BLOQUEAR,PF/WR/expectancy debiles
NEAR/USDT,9,5,4,55.56,-0.396207,-0.010916,0.172972,-0.010916,BLOQUEAR,PF/WR/expectancy debiles
PIXEL/USDT,3,2,1,66.67,-0.460764,-0.204672,0.104462,-0.204672,BLOQUEAR,PF/WR/expectancy debiles
UNI/USDT,3,1,2,33.33,-0.643536,-0.102751,0.023383,-0.102751,BLOQUEAR,PF/WR/expectancy debiles
BCH/USDT,5,3,2,60.0,-0.851246,-0.016611,0.07091,-0.016611,BLOQUEAR,PF/WR/expectancy debiles
